Preço,Condomínio,Área,Quartos,Banheiros,Vagas,Abaixo $,Endereço,Descrição,0,1,2,3,4,Latitude,Longitude
510000,751,72,2,2,1,0,"Rua Professor Otacílio, 80 - Santa Rosa, Niterói - RJ","Apartamento com 2 Quartos à Venda, 72m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.8988754,-43.0995999
510000,478,79,3,2,2,0,"Rua dos Vianas, 333 - Baeta Neves, São Bernardo do Campo - SP","Apartamento com 3 Quartos à Venda, 79m²",Churrasqueira,Elevador,Academia,Aceita animais,Jardim,-23.7077656,-46.5226671
399000,0,164,3,2,2,0,"Rua Camargo, 145 - Paulicéia, São Bernardo do Campo - SP","Casa com 3 Quartos à Venda, 164m²",Aceita animais,,,,,-23.6703423,-46.5989939
99900,94,20,1,1,0,0,"Avenida São Miguel, 500 - Penha, São Paulo - SP","Apartamento com Quarto à Venda, 20m²",Mobiliado,Condomínio fechado,Aceita animais,Bicicletário,Cozinha americana,-23.5184756,-46.5233985
795000,1400,98,2,2,2,0,"Avenida Raymundo Magalhães Júnior, 300 - Barra da Tijuca, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 98m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-23.0028218,-43.3715215
322000,0,157,3,2,2,0,"Rua Faveiro, 153 - Jardim Planalto, Mogi das Cruzes - SP","Casa com 3 Quartos à Venda, 157m²",Quintal,Aceita animais,Despensa,Sala de jantar,Sala grande,-23.5592647,-46.2256598
790000,1400,91,2,2,1,0,"Avenida Ayrton Senna, 270 - Barra da Tijuca, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 91m²",Piscina,Churrasqueira,Condomínio fechado,Aceita animais,Playground,-23.008683650000002,-43.36456443191893
2850000,3295,85,2,2,1,0,"Rua Prudente de Morais, 1008 - Ipanema, Rio de Janeiro - RJ","Flat com 2 Quartos à Venda, 85m²",,,,,,-22.9847788,-43.2150052
270000,0,68,2,2,1,0,"Rua Barra do Piraí, 6 - Jardim Mariléa, Rio das Ostras - RJ","Casa com 2 Quartos à Venda, 68m²",,,,,,-22.4998713,-41.9292981
430000,350,60,2,2,1,0,Ubatuba - SP,"Apartamento com 2 Quartos à Venda, 60m²",Piscina,Elevador,Aceita animais,Varanda gourmet,Cozinha americana,-23.433162,-45.083415
270000,145,10,1,1,0,0,"Rua Humberto de Campos, 827 - Leblon, Rio de Janeiro - RJ","Apartamento com Quarto à Venda, 10m²",Portaria 24h,Ar-condicionado,,,,-22.9818747,-43.2149398
445000,644,131,2,3,2,0,"Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR","Cobertura com 2 Quartos à Venda, 131m²",,,,,,-25.3981229,-49.2567816
480000,100,120,3,3,2,0,"Rua Cangussu, 195 - Nonoai, Porto Alegre - RS","Casa de condomínio com 3 Quartos à Venda, 120m²",Área de serviço,Móvel planejado,Churrasqueira na varanda,Armário embutido no quarto,Armário na cozinha,-30.0925714,-51.2249518
750000,0,162,4,3,2,0,"Rua Joaquim Pinto de Moraes, 29 - Jardim das Paineiras, Campinas - SP","Casa com 4 Quartos à Venda, 162m²",Ar-condicionado,Closet,Portão eletrônico,,,-22.891958,-47.0353167
895000,818,85,2,2,1,0,"Rua Ipiranga, 32 - Laranjeiras, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 85m²",Churrasqueira,Elevador,Condomínio fechado,Academia,Aceita animais,-22.9337131,-43.18321591476328
1100000,953,98,3,3,1,0,"Rua Sá Ferreira, 227 - Copacabana, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 98m²",Churrasqueira,Elevador,Condomínio fechado,Jardim,Salão de festas,-22.9811942,-43.1925476
750000,950,60,2,2,1,0,"Rua Alvorada, 81 - Vila Olímpia, São Paulo - SP","Apartamento com 2 Quartos à Venda, 60m²",Piscina,Elevador,Condomínio fechado,Ar-condicionado,Jardim,-23.6034891,-46.6792423
870000,1700,146,3,3,2,0,"Rua Professor Gabizo, 21 - Tijuca, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 146m²",Piscina,Churrasqueira,Academia,Espaço gourmet,Ar-condicionado,-22.9212472,-43.2187527
677371,0,67,1,1,1,0,"Avenida Atlântica, 2692 - Copacabana, Rio de Janeiro - RJ","Apartamento com Quarto à Venda, 67m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.9845221,-43.1893014
895000,1400,151,3,2,3,0,"Praça Quinze de Novembro, 84 - Cambuí, Campinas - SP","Apartamento com 3 Quartos à Venda, 151m²",Elevador,Aceita animais,Ar-condicionado,Jardim,Salão de festas,-22.895172600000002,-47.057752312176845
1300000,0,420,5,4,3,0,"Rua Joaquim Manhães - Boa Vista, Belo Horizonte - MG","Casa com 5 Quartos à Venda, 420m²",Mobiliado,Churrasqueira,Espaço gourmet,Jardim,Varanda gourmet,-19.8937923,-43.9078719
500000,964,90,3,3,1,0,"Rua Conde de Bonfim, 1310 - Tijuca, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 90m²",Elevador,Condomínio fechado,Aceita animais,Playground,Salão de festas,-22.9222851,-43.2217511
648000,901,66,1,1,0,0,"Rua Paissandu, 406 - Flamengo, Rio de Janeiro - RJ","Apartamento com Quarto à Venda, 66m²",Aceita animais,Ar-condicionado,Portaria 24h,,,-22.933986,-43.1760735
4500000,1500,153,4,2,2,0,"Rua Sambaíba, 000 - Leblon, Rio de Janeiro - RJ","Apartamento com 4 Quartos à Venda, 153m²",Portaria 24h,,,,,-22.9865776,-43.2324276
1590000,1800,87,3,3,1,0,"Rua Barão da Torre, 32-B - Ipanema, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 87m²",Elevador,Aceita animais,Ar-condicionado,Playground,Bicicletário,-22.9831351,-43.2055487
155000,290,45,2,1,1,0,"Rua Torres Homem, 634 - Várzea, Recife - PE","Apartamento com 2 Quartos à Venda, 45m²",Piscina,Churrasqueira,Condomínio fechado,Aceita animais,Jardim,-8.0364243,-34.9538666
1250000,1100,78,1,2,2,0,"Rua Pio XI, 1970 - Alto de Pinheiros, São Paulo - SP","Apartamento com Quarto à Venda, 78m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.5341722,-46.7138427
650000,1000,102,3,3,2,0,"Avenida Iguaçu, 2960 - Água Verde, Curitiba - PR","Apartamento com 3 Quartos à Venda, 102m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-25.4497151,-49.2896936
950000,900,105,3,3,1,0,"Rua Diana, 649 - Perdizes, São Paulo - SP","Apartamento com 3 Quartos à Venda, 105m²",Mobiliado,Elevador,Academia,Ar-condicionado,Salão de festas,-23.5338447,-46.6816779
690000,650,115,3,5,2,0,"Rua 14, 516 - Jardim Goiás, Goiânia - GO","Apartamento com 3 Quartos à Venda, 115m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-16.7058937,-49.2330604
735000,988,64,2,1,1,0,"Rua Farani, 60 - Botafogo, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 64m²",Elevador,Condomínio fechado,Aceita animais,Área de serviço,Salão de festas,-22.9415522,-43.1814436
1100000,1427,172,3,4,2,0,"Rua Nossa Senhora de Fátima, 77 - Santa Paula, São Caetano do Sul - SP","Apartamento com 3 Quartos à Venda, 172m²",Elevador,Aceita animais,Salão de festas,Portaria 24h,Salão de jogos,-23.6220145,-46.5657556
950000,1077,100,3,2,2,0,"Rua Professor Miguel Couto, 389 - Icaraí, Niterói - RJ","Apartamento com 3 Quartos à Venda, 100m²",Piscina,Churrasqueira,Elevador,Playground,Salão de festas,-22.9026994,-43.1056273
898000,650,170,3,3,2,0,"Rua Galeão Coutinho, 654 - Itaguá, Ubatuba - SP","Apartamento com 3 Quartos à Venda, 170m²",Churrasqueira,Elevador,Condomínio fechado,Aceita animais,Espaço gourmet,-23.4573227,-45.0652018
3400000,1800,270,3,4,4,0,"Rua Duarte Schutel, 135 - Centro, Florianópolis - SC","Cobertura com 3 Quartos à Venda, 270m²",,,,,,-27.5915561,-48.5582468
350000,620,70,2,2,0,0,"Rua José Higino, 281 - Tijuca, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 70m²",Aceita animais,Portão eletrônico,,,,-22.9293941,-43.2386577
194500,380,56,2,1,1,0,"Rua Marechal Octávio Saldanha Mazza, 7584 - Capão Raso, Curitiba - PR","Apartamento com 2 Quartos à Venda, 56m²",Mobiliado,Churrasqueira,Condomínio fechado,Aceita animais,Jardim,-25.5102466,-49.2973539
