Preço,Condomínio,Área,Quartos,Banheiros,Vagas,Abaixo $,Endereço,Descrição,0,1,2,3,4,Latitude,Longitude
790000,0,120,3,3,1,0,"Quadra 203, 9 - Sul, Brasília - DF","Apartamento com 3 Quartos à Venda, 120m²",Churrasqueira,Elevador,Condomínio fechado,Academia,Aceita animais,-15.81665745,-47.88876239998757
435000,520,60,2,2,1,0,"Rua 25, 23 - Norte, Brasília - DF","Apartamento com 2 Quartos à Venda, 60m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-15.5428028,-47.2904443
259990,220,30,1,1,1,0,"SGAN 906, 906 - Asa Norte, Brasília - DF","Apartamento com Quarto à Venda, 30m²",Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,Portaria 24h,-15.7723906,-47.8936221
320000,200,27,1,1,1,0,"Asa Norte, Brasília - DF","Apartamento com Quarto à Venda, 27m²",Mobiliado,Elevador,Condomínio fechado,Aceita animais,Espaço gourmet,-15.75799565,-47.871353931704704
560000,491,74,1,1,2,0,"Rua 19, 000 - Norte, Brasília - DF","Apartamento com Quarto à Venda, 74m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-16.2359637,-47.943354
850000,530,98,1,2,1,0,"Rua 13, 1 - Aguas Claras, Brasília - DF","Apartamento com Quarto à Venda, 98m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-15.84093715,-48.01792736245497
850000,800,99,4,2,2,0,"Quadra 205, 4 - Aguas Claras, Brasília - DF","Apartamento com 4 Quartos à Venda, 99m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-15.8423553,-48.0214125
700000,0,230,0,0,0,0,"Avenida Jequitibá, 885 - Aguas Claras, Brasília - DF","Ponto comercial/Loja/Box à Venda, 230m²",,,,,,-15.8375098,-48.0413804
7800000,0,720,5,4,10,0,"SHIS QL 8 Conjunto 7, 9 - Lago Sul, Brasília - DF","Casa com 5 Quartos à Venda, 720m²",Piscina,Churrasqueira,Elevador,Aceita animais,Ar-condicionado,-15.8411673,-47.886081
540000,0,83,3,1,2,0,"Rua 36, 36 - Norte, Brasília - DF","Apartamento com 3 Quartos à Venda, 83m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-16.2350961,-47.950191
530000,0,65,2,2,1,0,"Rua 25, 25 - Norte, Brasília - DF","Apartamento com 2 Quartos à Venda, 65m²",Piscina,Elevador,Condomínio fechado,Varanda,Academia,-15.5428028,-47.2904443
390000,0,360,3,3,3,0,"Norte, Brasília - DF","Casa com 3 Quartos à Venda, 360m²",Portaria 24h,Portão eletrônico,Condomínio fechado,Varanda gourmet,,-15.764044877985176,-47.83296336309007
763000,0,88,3,1,2,0,"Rua 27, 01 - Norte, Brasília - DF","Apartamento com 3 Quartos à Venda, 88m²",,,,,,-16.2362276,-47.9490021
398000,430,60,2,1,1,0,"Rua 9, 52 - Sul, Brasília - DF","Apartamento com 2 Quartos à Venda, 60m²",,,,,,-16.0540406,-47.9918808
610000,480,79,3,2,2,0,"Quadra 208, 10 - Sul, Brasília - DF","Apartamento com 3 Quartos à Venda, 79m²",,,,,,-15.79787385,-47.88303256783667
760000,0,180,3,3,0,0,"Avenida Comercial, 0 - Setor Habitacional Taquari, Brasília - DF","Casa com 3 Quartos à Venda, 180m²",Aceita animais,Ar-condicionado,Varanda gourmet,Closet,Cozinha americana,-15.6928749,-47.86704
300000,0,110,3,2,4,0,"QNN 3, 3 - Ceilandia Norte, Brasília - DF","Casa com 3 Quartos à Venda, 110m²",,,,,,-15.815169,-48.1129645
650000,0,152,3,3,2,0,"Chácaras Itaipú, 0 - Setor Habitacional Jardim Botânico, Brasília - DF","Casa com 3 Quartos à Venda, 152m²",Conexão à internet,Quintal,Aceita animais,Varanda gourmet,,-15.8882539,-47.7716916
125000,180,50,2,1,0,0,"Guara II, Brasília - DF","Apartamento com 2 Quartos à Venda, 50m²",Cozinha,Interfone,Área de serviço,,,-22.7990134,-45.1635665
335000,450,63,2,2,2,0,"QNN 27, 0 - Ceilandia Norte, Brasília - DF","Apartamento com 2 Quartos à Venda, 63m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-15.8204834,-48.1211339
273200,1,30,1,1,1,0,"SGAN 910, 10 - Asa Norte, Brasília - DF","Apartamento com Quarto à Venda, 30m²",Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,Jardim,-15.759451,-47.8959413
1350000,1750,200,4,3,2,0,"Rua das Paineiras, 4 - Aguas Claras, Brasília - DF","Apartamento com 4 Quartos à Venda, 200m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-15.8429824,-48.037021
265000,370,64,3,2,1,0,"Quadra - Setor Central, Brasília - DF","Apartamento com 3 Quartos à Venda, 64m²",Portão eletrônico,Condomínio fechado,Salão de festas,Elevador,Portaria 24h,-16.0180715,-48.0732945
700000,0,96,3,3,2,0,"Rua das Carnaúbas, 12 - Aguas Claras, Brasília - DF","Apartamento com 3 Quartos à Venda, 96m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-15.8298303,-48.0180953
750000,750,107,3,3,1,0,"Rua Alecrim, 9 - Aguas Claras, Brasília - DF","Apartamento com 3 Quartos à Venda, 107m²",Churrasqueira,Elevador,Academia,Aceita animais,Jardim,-15.8366997,-48.0178029
3300000,2700,338,4,7,3,0,"SQN 303, 6 - Asa Norte, Brasília - DF","Apartamento com 4 Quartos à Venda, 338m²",Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,Área de serviço,-15.7742506,-47.8863282
6000000,4500,750,4,8,4,0,"SMDB Conjunto 24, 1 - Lago Sul, Brasília - DF","Casa com 4 Quartos à Venda, 750m²",Aceita animais,Ar-condicionado,Varanda gourmet,Armário embutido no quarto,Conexão à internet,-15.8523218,-47.8388667
8000000,0,1200,6,4,6,0,"SHIS QI 26 Conjunto 14, 1 - Lago Sul, Brasília - DF","Casa de condomínio com 6 Quartos à Venda, 1200m²",Piscina,Churrasqueira,Condomínio fechado,Varanda,Quintal,-15.8306812,-47.821065
215000,0,110,3,2,2,0,"QNP 11 Conjunto E, 20 - Ceilandia Norte, Brasília - DF","Casa com 3 Quartos à Venda, 110m²",Varanda,Aceita animais,Área de serviço,Armário embutido,Armário na cozinha,-15.8161255,-48.1306596
1330000,1200,110,3,4,1,0,"Asa Sul, Brasília - DF","Apartamento com 3 Quartos à Venda, 110m²",Garagem,Jardim,Área de serviço,Armário embutido,Interfone,-15.8139652,-47.89960928071284
690000,180,400,3,4,3,0,"Rua Rodobelo I, 3 - Gama, Brasília - DF","Casa com 3 Quartos à Venda, 400m²",Piscina,Churrasqueira,Condomínio fechado,Espaço gourmet,Jardim,-15.9540703,-48.032103295126554
250000,100,82,4,2,0,0,"QN 1 Conjunto 1 - Riacho Fundo I, Brasília - DF","Apartamento com 4 Quartos à Venda, 82m²",,,,,,-15.8797502,-48.0099277
634900,0,180,5,4,0,0,"QR 4 Conjunto D, 26 - Candangolândia, Brasília - DF","Casa com 5 Quartos à Venda, 180m²",Churrasqueira,Portão eletrônico,Aceita animais,Varanda gourmet,,-15.8489663,-47.9476764
250000,0,145,2,1,0,0,"QNP 5 Conjunto V, 0 - Ceilandia Norte, Brasília - DF","Casa com 2 Quartos à Venda, 145m²",,,,,,-15.8221209,-48.1268576
899000,0,225,3,1,4,0,"Guará, Brasília - DF","Casa com 3 Quartos à Venda, 225m²",,,,,,-15.8235629,-47.9768165
2100000,0,783,6,8,5,0,"SMPW Quadra 12 Conjunto 3, 0 - Park Way , Brasília - DF","Casa com 6 Quartos à Venda, 783m²",Condomínio fechado,Varanda,Área de serviço,Escritório,Armário embutido,-15.9097038,-47.9785559
292967,0,54,2,2,1,0,"QNN 30 Área Especial B - Ceilândia Sul, Ceilândia - DF",Versato,,,,,,-15.8363678,-48.1105802
590000,600,81,3,2,1,0,"Rua Manacá, 4 - Aguas Claras, Brasília - DF","Apartamento com 3 Quartos à Venda, 81m²",Piscina,Mobiliado,Elevador,Academia,Móvel planejado,-15.8314663,-48.0095679
640000,807,106,2,2,2,0,"Quadra 208, 208 - Aguas Claras, Brasília - DF","Apartamento com 2 Quartos à Venda, 106m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Varanda,-15.8452235,-48.0274093
340000,0,43,2,1,0,0,"Cruzeiro Novo, Brasília - DF","Apartamento com 2 Quartos à Venda, 43m²",,,,,,-8.2712552,-49.2609357
320000,0,144,3,1,0,0,"QNO 13 Conjunto I, 1 - Ceilândia, Brasília - DF","Casa com 3 Quartos à Venda, 144m²",,,,,,-15.7907995,-48.1296487
220000,0,144,2,1,2,0,"QNN 26 Conjunto D - Ceilandia Sul, Brasília - DF","Casa com 2 Quartos à Venda, 144m²",,,,,,-15.8403982,-48.1043725
630000,0,85,2,3,2,0,"Rua 25, 100 - Norte, Brasília - DF","Apartamento com 2 Quartos à Venda, 85m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-15.5428028,-47.2904443
195000,0,45,2,1,1,0,"QNN 11, 0 - Ceilandia Norte, Brasília - DF","Apartamento com 2 Quartos à Venda, 45m²",Churrasqueira,Elevador,Condomínio fechado,Academia,Área de serviço,-15.8190255,-48.1151953
2290000,0,729,6,9,12,0,"Setor Habitacional Taquari, Brasília - DF","Casa com 6 Quartos à Venda, 729m²",Piscina,Mobiliado,Churrasqueira,Quintal,Garagem,-15.697389,-47.875332
1598000,628,600,5,6,3,0,"Condomínio Estância Jardim Botânico - Setor Habitacional Jardim Botânico, Brasília - DF","Casa com 5 Quartos à Venda, 600m²",Piscina,Churrasqueira,Varanda,Quintal,Ar-condicionado,-15.8794238,-47.7823493
110000,150,58,2,1,0,0,"Avenida Sucupira, 20 - Riacho Fundo I, Brasília - DF","Apartamento com 2 Quartos à Venda, 58m²",,,,,,-15.887748,-48.0126674
410000,0,50,1,1,1,0,"CLNW 10/11 - Setor Noroeste, Brasília - DF","Apartamento com Quarto à Venda, 50m²",,,,,,-15.74318695,-47.9120831495934
3349994,480,800,4,6,4,0,"Park Way , Brasília - DF","Casa de condomínio com 4 Quartos à Venda, 800m²",Piscina,Churrasqueira,Quintal,Área de serviço,Closet,-15.9027386,-47.963322
590000,500,79,2,2,1,0,"Rua das Pitangueiras, 0 - Aguas Claras, Brasília - DF","Apartamento com 2 Quartos à Venda, 79m²",Churrasqueira,Elevador,Condomínio fechado,Academia,Espaço gourmet,-15.8339339,-48.0176421
234900,0,44,2,1,1,0,"QNM 29, 1 - Ceilandia Sul, Brasília - DF","Apartamento com 2 Quartos à Venda, 44m²",Piscina,Churrasqueira,Condomínio fechado,Espaço gourmet,Playground,-15.8269556,-48.0925771
820000,940,123,4,4,2,0,"Quadra 206, 9 - Sul, Brasília - DF","Apartamento com 4 Quartos à Venda, 123m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-15.7930602,-47.892502
500000,0,160,3,3,4,0,"QN 1 Conjunto 1, 0 - Riacho Fundo I, Brasília - DF","Sobrado com 3 Quartos à Venda, 160m²",Aceita animais,,,,,-15.8797502,-48.0099277
450000,480,70,2,2,1,0,"Rua 24, 16 - Norte, Brasília - DF","Apartamento com 2 Quartos à Venda, 70m²",,,,,,-15.5447019,-47.2922802
