Preço,Condomínio,Área,Quartos,Banheiros,Vagas,Abaixo $,Endereço,Descrição,0,1,2,3,4,Latitude,Longitude
240000,312,54,2,1,1,0,"Avenida Sara Zirlis, 222 - Vila Lutecia, Santo André - SP","Apartamento com 2 Quartos à Venda, 54m²",Mobiliado,Churrasqueira,Elevador,Condomínio fechado,Academia,-23.693108,-46.5054401
2780000,1900,185,3,5,3,0,"Rua Gabriele D'Annunzio, 710 - Campo Belo, São Paulo - SP","Apartamento com 3 Quartos à Venda, 185m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-23.6187554,-46.6813545
900000,950,127,3,3,2,0,"Rua das Laranjeiras, 430 - Laranjeiras, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 127m²",Churrasqueira,Elevador,Condomínio fechado,Jardim,Quadra poliesportiva,-22.9382701,-43.1916274
445000,644,131,2,3,2,0,"Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR","Cobertura com 2 Quartos à Venda, 131m²",,,,,,-25.3981229,-49.2567816
730000,1361,90,3,2,1,0,"Rua Mário Agostinelli, 105 - Jacarepaguá, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 90m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.9730536,-43.3821016
390000,400,69,3,1,0,0,"Rua Pedro Américo, 116 - Catete, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 69m²",Aceita animais,Ar-condicionado,Mobiliado,Portão eletrônico,Armário embutido,-22.9240329,-43.178451550000005
990000,882,71,2,2,2,0,"Rua Antônio de Macedo Soares, 878 - Campo Belo, São Paulo - SP","Apartamento com 2 Quartos à Venda, 71m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.616501,-46.6697729
1050000,675,104,3,2,1,0,"Rua 231, 10 - Meia Praia, Itapema - SC","Apartamento com 3 Quartos à Venda, 104m²",Aceita animais,Ar-condicionado,Elevador,,,-27.1258907,-48.6029861
2350000,1614,310,5,7,3,0,"Estrada Vereador Alceu de Carvalho, 665 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ","Casa com 5 Quartos à Venda, 310m²",Piscina,Mobiliado,Churrasqueira,Condomínio fechado,Academia,-23.0210836,-43.4927775
895000,1400,151,3,2,3,0,"Praça Quinze de Novembro, 84 - Cambuí, Campinas - SP","Apartamento com 3 Quartos à Venda, 151m²",Elevador,Aceita animais,Ar-condicionado,Jardim,Salão de festas,-22.895172600000002,-47.057752312176845
